TLA NAME,CRASH ROAD,CRASH DIST,CRASH DIRN,INTSN,SIDE ROAD,CRASH ID,CRASH DATE,CRASH DOW,CRASH TIME,MVMT,VEHICLES,CAUSES,OBJECTS STRUCK,ROAD CURVE,ROAD WET,LIGHT,WTHRa,JUNC TYPE,TRAF CTRL,ROAD MARK,SPD LIM,CRASH FATAL CNT,CRASH SEV CNT,CRASH MIN CNT,PERS AGE1,PERS AGE2,EASTING,NORTHING,latitude,longitude
Wellington City,BAY ROAD,100,N, ,COUTTS ST,2013067,16/07/00,Sun,1400,NA,VN1E,383A 711B ,,R,D,O ,F , ,N,C,50,0,0,1,79,,1750205,5424271,-41.31904944,174.7946398
Wellington City,BAY ROAD,30,S, ,RONGOTAI ROAD,2050752,22/02/00,Tue,1630,MO,CN1C,385A 402A ,HM,R,D,B ,F , ,N,C,50,0,0,0,,,1750233,5424369,-41.3181619,174.79495
Wellington City,BAY ROAD,150,S, ,RONGOTAI ROAD,2053765,20/07/00,Thu,1315,MF,CS1C,371A ,,R,D,B ,F , ,N,C,50,0,0,0,,,1750199,5424254,-41.31920361,174.7945724
Wellington City,BELL ROAD,50,S, ,BIDWILL ST,2052235,2/04/00,Sun,45,DB,CN1,103A ,ET,M,D,DN,F , ,N,N,50,0,0,0,,,1748149,5426076,-41.30317855,174.7696465
Wellington City,BIDWILL ST,100,W, ,BROOKLYN ROAD,2012355,20/07/00,Thu,2145,BE,CW1CC,120A 132A ,M,M,W,DO,L , ,N,L,50,0,0,1,,,1748207,5426093,-41.30301484,174.7703349
Wellington City,BOULCOTT ST,10,S, ,CHURCH ST,2011825,26/04/00,Wed,1625,NA,CE1E,378A 711B 833 ,,M,D,B ,F ,Y,N,C,50,0,0,1,,,1748536,5427736,-41.28816167,174.7738621
Wellington City,BOULCOTT ST,30,S, ,CHURCH ST,2052310,24/05/00,Wed,1710,FD,VN1CC,331A ,,R,D,DO,F , ,N,C,50,0,0,0,,,1748547,5427719,-41.28831271,174.7739975
Wellington City,BOULCOTT ST,, ,I,GILMER TERRACE,2054061,11/08/00,Fri,1605,LB,CE1V,303A 902 ,,E,D,B ,F ,T,G,C,50,0,0,0,,,1748567,5427961,-41.28613019,174.7741772
Wellington City,BOULCOTT ST,, ,I,GILMER TERRACE,2054350,5/09/00,Tue,1330,GD,CE1V,331A 358A ,,R,W,O ,L ,T,G,C,50,0,0,0,,,1748567,5427961,-41.28613019,174.7741772
Wellington City,BOWEN ST,10,W, ,LAMBTON QUAY,2012592,18/10/00,Wed,728,NA,CE1E,713B ,,R,D,O ,F ,T,T,C,50,0,0,1,48,,1748818,5428698,-41.27944842,174.7769932
Wellington City,BOWEN ST,, ,I,LAMBTON QUAY,2055697,6/12/00,Wed,1030,HA,CE1CC,324B ,,R,D,B ,F ,X,T,C,50,0,0,0,,,1748819,5428688,-41.27953827,174.7770076
Wellington City,BOWEN ST,, ,I,LAMBTON QUAY,2011799,26/05/00,Fri,1610,NA,BE1E,711B 718B ,,R,D,B ,F ,X,T,R,50,0,0,1,14,,1748819,5428688,-41.27953827,174.7770076
Wellington City,BOWEN ST,50,E, ,THE TERRACE,2054613,12/08/00,Sat,2330,DB,CE1,103A 111A ,,M,D,DO,F , ,N,C,50,0,0,0,,,1748750,5428766,-41.27884871,174.776165
Wellington City,BOWEN ST,, ,I,TINAKORI ROAD,2011814,28/03/00,Tue,1915,NF,CN2EC,307A 372A ,,R,D,DO,F ,Y,T,C,50,0,0,1,32,,1748168,5428780,-41.27882965,174.7692153
Wellington City,BOX HILL,100,S, ,STATION ROAD,2052317,23/05/00,Tue,1650,GD,CN1C,331A 929 ,,R,D,TF,F ,D,N,C,50,0,0,0,,,1750147,5432727,-41.24292767,174.7918629
Wellington City,BRACKEN ROAD,60,S, ,BEAZLEY AVENUE,2054336,17/08/00,Thu,1520,MA,CS1C,373B 831 ,,M,D,O ,F , ,N,C,50,0,0,0,,,1752628,5435452,-41.21792913,174.820776
Wellington City,BRACKEN ROAD,, ,I,CARLUKE ST,2054848,30/09/00,Sat,917,JA,CW1V,303A ,,E,D,O ,L ,T,N,C,50,0,0,0,,,1752593,5435453,-41.21792673,174.8203584
Wellington City,BRAITHWAITE ST,, ,I,LANCASTER ST,2055862,25/12/00,Mon,1230,JA,CE1V,302B ,,R,D,B ,F ,T,G,P,50,0,0,0,,,1746348,5428202,-41.2843656,174.747632
Wellington City,BRANDON ST,5,W, ,CUSTOMHOUSE QUAY,2052871,6/07/00,Thu,1135,MO,CW1C,385A ,M,R,D,B ,F ,T,N,C,50,0,0,0,,,1748871,5428216,-41.28377831,174.7777435
Wellington City,BREAKER BAY ROAD,190,E, ,MOA POINT ROAD,2051835,29/03/00,Wed,1845,BB,CS1C,120A 404A ,,M,D,TO,F , ,N,L,50,0,0,0,,,1752505,5421670,-41.34203498,174.8227597
